update,leading_edge_index,leading_edge_value,count_under,count_6,count_7,count_8,count_9,count_10,count_11,count_12,count_13,count_14,count_15,count_16,count_17,count_18,count_19,count_20,count_21,count_22,count_23,count_24,count_over
46,43,13,4,417,47,0,0,0,0,33,11,0,0,0,0,0,0,0,0,0,0,0,0
47,43,13,4,417,47,0,0,0,0,35,9,0,0,0,0,0,0,0,0,0,0,0,0
48,43,13,7,419,42,0,0,0,1,33,10,0,0,0,0,0,0,0,0,0,0,0,0
49,44,13,6,419,41,1,0,0,1,34,10,0,0,0,0,0,0,0,0,0,0,0,0
50,45,13,5,416,44,1,0,0,0,36,10,0,0,0,0,0,0,0,0,0,0,0,0
51,45,13,2,418,45,1,0,0,0,36,10,0,0,0,0,0,0,0,0,0,0,0,0
52,46,13,9,403,52,1,0,0,0,34,13,0,0,0,0,0,0,0,0,0,0,0,0
53,47,13,3,408,52,1,0,0,0,34,14,0,0,0,0,0,0,0,0,0,0,0,0
54,48,13,3,405,54,1,0,0,1,32,16,0,0,0,0,0,0,0,0,0,0,0,0
55,49,13,7,400,55,0,0,0,0,34,16,0,0,0,0,0,0,0,0,0,0,0,0
56,50,13,4,405,51,1,0,0,0,36,15,0,0,0,0,0,0,0,0,0,0,0,0
57,50,13,3,408,50,0,0,0,0,36,15,0,0,0,0,0,0,0,0,0,0,0,0
58,51,13,5,401,54,0,0,0,0,34,18,0,0,0,0,0,0,0,0,0,0,0,0
59,52,13,3,405,50,1,0,0,0,33,20,0,0,0,0,0,0,0,0,0,0,0,0
60,53,13,1,406,50,1,0,0,0,32,22,0,0,0,0,0,0,0,0,0,0,0,0
61,54,13,3,401,52,1,0,0,0,32,23,0,0,0,0,0,0,0,0,0,0,0,0
62,55,13,2,406,47,1,0,0,0,33,23,0,0,0,0,0,0,0,0,0,0,0,0
63,56,13,3,401,49,2,0,0,0,35,22,0,0,0,0,0,0,0,0,0,0,0,0
64,57,13,4,402,46,2,0,0,0,37,21,0,0,0,0,0,0,0,0,0,0,0,0
65,58,13,6,404,42,1,0,0,0,35,24,0,0,0,0,0,0,0,0,0,0,0,0
66,59,13,2,403,45,2,0,0,0,36,24,0,0,0,0,0,0,0,0,0,0,0,0
67,59,13,5,400,45,2,0,0,2,33,25,0,0,0,0,0,0,0,0,0,0,0,0
68,60,13,3,396,51,1,0,0,0,36,25,0,0,0,0,0,0,0,0,0,0,0,0
69,61,13,0,404,45,1,0,0,1,34,27,0,0,0,0,0,0,0,0,0,0,0,0
70,61,13,3,410,36,1,0,0,0,34,28,0,0,0,0,0,0,0,0,0,0,0,0
71,61,13,3,410,37,0,0,0,1,32,29,0,0,0,0,0,0,0,0,0,0,0,0
72,62,13,4,404,41,0,0,0,0,32,31,0,0,0,0,0,0,0,0,0,0,0,0
73,63,13,3,398,47,0,0,0,0,31,33,0,0,0,0,0,0,0,0,0,0,0,0
74,64,13,5,390,52,0,0,0,0,31,34,0,0,0,0,0,0,0,0,0,0,0,0
75,65,13,5,392,47,2,0,0,0,32,34,0,0,0,0,0,0,0,0,0,0,0,0
76,66,13,0,398,43,4,0,0,0,33,34,0,0,0,0,0,0,0,0,0,0,0,0
77,66,13,0,392,50,3,0,0,1,30,36,0,0,0,0,0,0,0,0,0,0,0,0
78,67,13,3,385,51,5,0,0,2,32,34,0,0,0,0,0,0,0,0,0,0,0,0
79,67,13,0,386,54,4,0,0,0,37,31,0,0,0,0,0,0,0,0,0,0,0,0
80,68,13,3,381,54,5,0,0,0,35,34,0,0,0,0,0,0,0,0,0,0,0,0
81,69,13,5,379,53,5,0,0,0,36,33,1,0,0,0,0,0,0,0,0,0,0,0
82,70,13,5,373,60,3,0,0,0,38,33,0,0,0,0,0,0,0,0,0,0,0,0
83,71,13,4,371,64,1,0,0,0,38,34,0,0,0,0,0,0,0,0,0,0,0,0
84,72,13,4,375,56,4,0,0,0,35,38,0,0,0,0,0,0,0,0,0,0,0,0
85,73,13,2,382,51,3,0,0,0,35,38,1,0,0,0,0,0,0,0,0,0,0,0
86,74,13,4,376,56,2,0,0,0,35,38,1,0,0,0,0,0,0,0,0,0,0,0
87,75,13,5,376,56,0,0,0,0,35,40,0,0,0,0,0,0,0,0,0,0,0,0
88,76,13,11,376,48,0,0,0,0,36,41,0,0,0,0,0,0,0,0,0,0,0,0
89,77,13,2,384,47,1,0,0,0,38,40,0,0,0,0,0,0,0,0,0,0,0,0
90,78,13,3,374,55,1,0,0,0,37,42,0,0,0,0,0,0,0,0,0,0,0,0
91,79,13,1,376,53,2,0,0,0,37,43,0,0,0,0,0,0,0,0,0,0,0,0
92,80,13,4,378,49,0,0,0,0,36,45,0,0,0,0,0,0,0,0,0,0,0,0
93,80,13,1,380,50,0,0,0,0,37,44,0,0,0,0,0,0,0,0,0,0,0,0
94,81,13,0,383,47,0,0,0,0,33,48,1,0,0,0,0,0,0,0,0,0,0,0
95,82,13,2,381,46,1,0,0,0,33,49,0,0,0,0,0,0,0,0,0,0,0,0
96,83,13,2,377,50,0,0,0,0,35,47,1,0,0,0,0,0,0,0,0,0,0,0
97,84,13,5,371,51,0,0,0,0,32,53,0,0,0,0,0,0,0,0,0,0,0,0
98,85,13,3,367,56,0,0,0,0,31,55,0,0,0,0,0,0,0,0,0,0,0,0
99,85,13,5,371,49,1,0,0,1,30,55,0,0,0,0,0,0,0,0,0,0,0,0
100,86,13,6,369,48,2,0,0,0,32,55,0,0,0,0,0,0,0,0,0,0,0,0
101,87,13,5,370,48,1,0,0,1,29,58,0,0,0,0,0,0,0,0,0,0,0,0
102,88,13,3,372,47,1,0,0,0,32,57,0,0,0,0,0,0,0,0,0,0,0,0
103,89,13,3,369,49,1,0,0,0,31,59,0,0,0,0,0,0,0,0,0,0,0,0
104,90,13,6,360,55,0,0,0,0,32,59,0,0,0,0,0,0,0,0,0,0,0,0
105,90,13,5,362,54,0,0,0,0,31,60,0,0,0,0,0,0,0,0,0,0,0,0
106,91,13,1,370,50,0,0,0,0,32,59,0,0,0,0,0,0,0,0,0,0,0,0
107,92,13,2,372,46,0,0,0,0,34,58,0,0,0,0,0,0,0,0,0,0,0,0
108,93,13,3,372,43,0,0,0,0,31,62,1,0,0,0,0,0,0,0,0,0,0,0
109,92,13,3,370,44,2,0,0,0,28,64,1,0,0,0,0,0,0,0,0,0,0,0
110,93,13,1,369,44,3,1,0,0,28,65,1,0,0,0,0,0,0,0,0,0,0,0
111,94,13,4,359,49,4,1,0,0,29,64,2,0,0,0,0,0,0,0,0,0,0,0
112,95,13,1,365,47,2,1,0,0,29,63,4,0,0,0,0,0,0,0,0,0,0,0
113,96,13,3,362,46,1,3,0,1,30,61,5,0,0,0,0,0,0,0,0,0,0,0
114,97,13,2,363,43,2,4,0,0,31,64,3,0,0,0,0,0,0,0,0,0,0,0
115,98,13,3,364,41,1,4,0,1,30,63,5,0,0,0,0,0,0,0,0,0,0,0
116,99,13,2,362,43,3,2,0,0,32,63,5,0,0,0,0,0,0,0,0,0,0,0
117,100,13,4,360,42,2,3,0,1,30,64,6,0,0,0,0,0,0,0,0,0,0,0
118,101,13,2,362,42,1,3,0,0,32,65,5,0,0,0,0,0,0,0,0,0,0,0
119,101,13,3,361,44,0,2,0,0,35,63,4,0,0,0,0,0,0,0,0,0,0,0
120,101,13,1,361,46,0,2,0,0,40,56,6,0,0,0,0,0,0,0,0,0,0,0
121,101,13,1,361,45,0,3,0,0,43,51,8,0,0,0,0,0,0,0,0,0,0,0
122,102,13,2,360,45,0,2,0,1,46,50,6,0,0,0,0,0,0,0,0,0,0,0
123,103,13,1,364,40,1,2,0,0,48,49,7,0,0,0,0,0,0,0,0,0,0,0
124,104,13,3,361,40,1,2,0,0,52,47,6,0,0,0,0,0,0,0,0,0,0,0
125,105,13,3,368,33,1,1,0,0,52,46,8,0,0,0,0,0,0,0,0,0,0,0
126,106,13,1,363,42,0,0,0,0,50,47,9,0,0,0,0,0,0,0,0,0,0,0
127,107,13,5,361,38,0,0,0,0,49,47,12,0,0,0,0,0,0,0,0,0,0,0
128,107,13,3,364,37,0,0,0,0,49,44,15,0,0,0,0,0,0,0,0,0,0,0
129,108,13,3,365,34,1,0,0,0,48,47,14,0,0,0,0,0,0,0,0,0,0,0
130,109,13,5,354,41,2,0,0,0,51,44,15,0,0,0,0,0,0,0,0,0,0,0
131,109,13,4,357,40,1,0,0,0,53,38,19,0,0,0,0,0,0,0,0,0,0,0
132,109,13,2,363,36,1,0,0,0,58,37,15,0,0,0,0,0,0,0,0,0,0,0
133,110,13,2,359,40,1,0,0,1,60,36,13,0,0,0,0,0,0,0,0,0,0,0
134,111,13,3,369,25,3,0,0,1,62,41,8,0,0,0,0,0,0,0,0,0,0,0
135,112,13,3,372,21,3,0,0,1,61,44,7,0,0,0,0,0,0,0,0,0,0,0
136,113,13,4,368,25,1,0,0,0,63,45,6,0,0,0,0,0,0,0,0,0,0,0
137,114,13,6,361,29,1,0,0,0,62,47,6,0,0,0,0,0,0,0,0,0,0,0
138,115,13,2,365,28,1,0,0,0,60,49,7,0,0,0,0,0,0,0,0,0,0,0
139,115,13,4,362,28,2,0,0,0,58,51,7,0,0,0,0,0,0,0,0,0,0,0
140,116,13,2,367,24,2,0,0,1,54,57,5,0,0,0,0,0,0,0,0,0,0,0
141,117,13,5,358,28,3,0,0,1,56,57,4,0,0,0,0,0,0,0,0,0,0,0
142,117,13,4,357,30,3,0,0,0,57,58,3,0,0,0,0,0,0,0,0,0,0,0
143,118,13,5,353,31,4,0,0,1,60,56,2,0,0,0,0,0,0,0,0,0,0,0
144,119,13,2,353,33,4,0,0,0,61,57,2,0,0,0,0,0,0,0,0,0,0,0
145,120,13,2,354,29,6,0,0,0,63,54,4,0,0,0,0,0,0,0,0,0,0,0
146,121,13,2,353,30,5,0,0,1,62,55,4,0,0,0,0,0,0,0,0,0,0,0
147,121,13,4,351,31,4,0,0,0,65,52,5,0,0,0,0,0,0,0,0,0,0,0
148,122,13,0,350,36,3,0,0,0,62,55,6,0,0,0,0,0,0,0,0,0,0,0
149,122,13,1,348,37,3,0,0,0,66,54,3,0,0,0,0,0,0,0,0,0,0,0
150,123,13,2,346,37,3,0,0,0,66,56,2,0,0,0,0,0,0,0,0,0,0,0
151,124,13,4,339,41,3,0,0,2,67,52,4,0,0,0,0,0,0,0,0,0,0,0
152,125,13,4,337,41,4,0,0,0,71,50,5,0,0,0,0,0,0,0,0,0,0,0
153,125,13,3,340,38,5,0,0,0,72,50,4,0,0,0,0,0,0,0,0,0,0,0
154,126,13,2,343,35,5,0,0,3,68,51,5,0,0,0,0,0,0,0,0,0,0,0
155,127,13,7,337,36,4,0,0,0,73,49,6,0,0,0,0,0,0,0,0,0,0,0
156,128,13,2,340,38,3,0,0,1,71,51,6,0,0,0,0,0,0,0,0,0,0,0
157,129,13,3,342,34,4,0,0,0,71,50,8,0,0,0,0,0,0,0,0,0,0,0
158,130,13,1,346,30,4,0,0,2,71,50,8,0,0,0,0,0,0,0,0,0,0,0
159,131,13,4,340,32,5,0,0,1,74,48,8,0,0,0,0,0,0,0,0,0,0,0
160,132,13,1,349,25,4,0,0,1,79,46,7,0,0,0,0,0,0,0,0,0,0,0
161,132,13,3,344,28,4,0,0,1,80,45,7,0,0,0,0,0,0,0,0,0,0,0
162,133,13,3,345,25,5,0,0,0,79,48,7,0,0,0,0,0,0,0,0,0,0,0
163,134,13,2,344,28,2,1,0,1,80,44,10,0,0,0,0,0,0,0,0,0,0,0
164,135,13,0,344,28,2,2,0,1,81,45,9,0,0,0,0,0,0,0,0,0,0,0
165,136,13,1,342,29,3,0,0,2,76,47,12,0,0,0,0,0,0,0,0,0,0,0
166,137,13,2,339,30,3,0,0,0,77,48,13,0,0,0,0,0,0,0,0,0,0,0
167,138,13,4,334,32,3,0,0,0,74,51,14,0,0,0,0,0,0,0,0,0,0,0
168,139,13,2,333,34,3,0,0,0,72,53,15,0,0,0,0,0,0,0,0,0,0,0
169,139,13,2,333,35,2,0,0,0,75,51,14,0,0,0,0,0,0,0,0,0,0,0
170,140,13,3,327,38,3,0,0,0,76,53,12,0,0,0,0,0,0,0,0,0,0,0
171,141,13,2,321,43,4,0,0,0,78,52,12,0,0,0,0,0,0,0,0,0,0,0
172,142,13,2,321,42,4,0,0,0,78,55,9,1,0,0,0,0,0,0,0,0,0,0
173,142,13,2,321,43,3,0,0,0,81,51,11,0,0,0,0,0,0,0,0,0,0,0
174,143,13,1,317,48,2,0,0,2,84,47,11,0,0,0,0,0,0,0,0,0,0,0
175,144,13,1,319,42,5,0,0,0,87,45,13,0,0,0,0,0,0,0,0,0,0,0
176,145,13,2,320,39,5,0,0,0,90,48,8,0,0,0,0,0,0,0,0,0,0,0
177,146,13,0,319,42,4,0,0,1,89,48,9,0,0,0,0,0,0,0,0,0,0,0
178,147,13,4,311,44,5,0,0,1,86,53,8,0,0,0,0,0,0,0,0,0,0,0
179,148,13,4,308,46,5,0,0,1,80,61,7,0,0,0,0,0,0,0,0,0,0,0
180,149,13,3,311,43,5,0,0,2,81,58,9,0,0,0,0,0,0,0,0,0,0,0
181,150,13,1,309,45,6,0,0,0,77,60,14,0,0,0,0,0,0,0,0,0,0,0
182,151,13,2,305,47,6,0,0,1,78,61,12,0,0,0,0,0,0,0,0,0,0,0
183,152,13,0,303,50,6,0,0,0,81,59,13,0,0,0,0,0,0,0,0,0,0,0
184,153,13,2,300,51,6,0,0,0,86,58,9,0,0,0,0,0,0,0,0,0,0,0
185,154,13,3,302,46,6,0,0,2,85,59,9,0,0,0,0,0,0,0,0,0,0,0
186,154,13,0,308,40,9,0,0,1,83,60,11,0,0,0,0,0,0,0,0,0,0,0
187,155,13,1,304,41,10,0,0,1,84,59,12,0,0,0,0,0,0,0,0,0,0,0
188,156,13,1,303,43,9,0,0,2,86,55,13,0,0,0,0,0,0,0,0,0,0,0
189,157,13,1,304,40,9,0,0,0,87,59,12,0,0,0,0,0,0,0,0,0,0,0
190,158,13,4,303,38,9,0,0,2,89,55,12,0,0,0,0,0,0,0,0,0,0,0
191,159,13,2,304,35,11,0,0,1,89,56,14,0,0,0,0,0,0,0,0,0,0,0
192,159,13,1,303,37,11,0,0,1,92,54,13,0,0,0,0,0,0,0,0,0,0,0
193,159,13,1,306,35,10,0,0,1,89,55,15,0,0,0,0,0,0,0,0,0,0,0
194,160,13,2,310,34,5,0,0,1,83,58,19,0,0,0,0,0,0,0,0,0,0,0
195,160,13,3,313,31,4,0,0,0,82,61,18,0,0,0,0,0,0,0,0,0,0,0
196,161,13,4,312,31,4,0,0,0,87,55,19,0,0,0,0,0,0,0,0,0,0,0
197,162,13,4,310,31,4,0,0,0,91,55,17,0,0,0,0,0,0,0,0,0,0,0
198,163,13,2,311,31,4,0,0,0,93,56,15,0,0,0,0,0,0,0,0,0,0,0
199,164,13,3,312,28,4,0,0,0,92,58,15,0,0,0,0,0,0,0,0,0,0,0
200,165,13,0,317,25,5,0,0,0,94,59,12,0,0,0,0,0,0,0,0,0,0,0
201,165,13,1,316,25,4,0,0,1,91,62,12,0,0,0,0,0,0,0,0,0,0,0
202,166,13,6,313,21,5,0,0,1,94,61,11,0,0,0,0,0,0,0,0,0,0,0
203,167,13,3,310,24,7,0,0,1,95,62,10,0,0,0,0,0,0,0,0,0,0,0
204,168,13,1,314,24,4,0,0,0,101,58,10,0,0,0,0,0,0,0,0,0,0,0
205,169,13,3,314,23,2,0,0,1,102,54,13,0,0,0,0,0,0,0,0,0,0,0
206,170,13,0,319,21,1,0,0,1,106,53,11,0,0,0,0,0,0,0,0,0,0,0
207,170,13,2,319,20,0,0,0,1,107,54,9,0,0,0,0,0,0,0,0,0,0,0
208,171,13,4,318,18,0,0,0,2,113,50,7,0,0,0,0,0,0,0,0,0,0,0
209,171,13,1,317,22,0,0,0,0,118,47,7,0,0,0,0,0,0,0,0,0,0,0
210,172,13,3,313,23,0,0,0,0,115,50,8,0,0,0,0,0,0,0,0,0,0,0
211,173,13,3,314,21,1,0,0,2,113,51,7,0,0,0,0,0,0,0,0,0,0,0
212,174,13,5,303,28,1,0,0,0,115,56,4,0,0,0,0,0,0,0,0,0,0,0
213,175,13,3,300,31,2,0,0,1,117,53,5,0,0,0,0,0,0,0,0,0,0,0
214,176,13,2,306,25,2,0,0,1,121,49,6,0,0,0,0,0,0,0,0,0,0,0
215,176,13,3,305,24,3,0,0,0,127,45,5,0,0,0,0,0,0,0,0,0,0,0
216,177,13,2,300,30,2,0,0,1,127,47,3,0,0,0,0,0,0,0,0,0,0,0
217,178,13,1,300,29,3,0,0,1,124,52,2,0,0,0,0,0,0,0,0,0,0,0
218,179,13,0,297,33,2,0,0,0,120,58,2,0,0,0,0,0,0,0,0,0,0,0
219,179,13,1,301,27,3,0,0,4,118,56,2,0,0,0,0,0,0,0,0,0,0,0
220,180,13,4,296,30,1,0,0,0,127,51,3,0,0,0,0,0,0,0,0,0,0,0
221,181,13,3,296,31,0,0,0,0,123,56,3,0,0,0,0,0,0,0,0,0,0,0
222,182,13,3,289,36,1,0,0,0,121,53,9,0,0,0,0,0,0,0,0,0,0,0
223,183,13,2,290,33,3,0,0,1,124,50,9,0,0,0,0,0,0,0,0,0,0,0
224,184,13,6,288,31,2,0,0,0,125,54,6,0,0,0,0,0,0,0,0,0,0,0
225,185,13,2,290,33,1,0,0,0,122,59,5,0,0,0,0,0,0,0,0,0,0,0
226,186,13,0,295,30,0,0,0,2,121,58,6,0,0,0,0,0,0,0,0,0,0,0
227,187,13,1,299,23,1,0,0,1,120,63,4,0,0,0,0,0,0,0,0,0,0,0
228,188,13,0,300,23,0,0,0,0,123,62,4,0,0,0,0,0,0,0,0,0,0,0
229,188,13,2,294,26,1,0,0,3,127,57,2,0,0,0,0,0,0,0,0,0,0,0
230,189,13,1,291,29,1,0,0,0,131,57,2,0,0,0,0,0,0,0,0,0,0,0
231,190,13,3,287,31,1,0,0,1,134,53,2,0,0,0,0,0,0,0,0,0,0,0
232,190,13,1,285,34,2,0,0,1,132,54,3,0,0,0,0,0,0,0,0,0,0,0
233,191,13,1,284,34,1,0,0,1,135,54,2,0,0,0,0,0,0,0,0,0,0,0
234,192,13,1,279,39,0,0,0,1,134,57,1,0,0,0,0,0,0,0,0,0,0,0
235,193,13,1,278,39,0,0,0,4,138,52,0,0,0,0,0,0,0,0,0,0,0,0
236,194,13,3,279,35,0,0,0,0,138,56,1,0,0,0,0,0,0,0,0,0,0,0
237,195,13,2,282,31,1,0,0,1,140,54,0,1,0,0,0,0,0,0,0,0,0,0
238,195,13,5,286,25,0,0,0,0,142,53,1,0,0,0,0,0,0,0,0,0,0,0
239,196,13,2,290,23,0,0,0,1,141,54,1,0,0,0,0,0,0,0,0,0,0,0
240,197,13,0,290,24,0,0,0,3,137,57,1,0,0,0,0,0,0,0,0,0,0,0
241,198,13,1,288,24,0,0,0,0,138,61,0,0,0,0,0,0,0,0,0,0,0,0
242,199,13,1,282,29,0,0,0,0,133,67,0,0,0,0,0,0,0,0,0,0,0,0
243,200,13,2,278,31,0,0,0,2,130,69,0,0,0,0,0,0,0,0,0,0,0,0
244,201,13,2,275,33,0,0,0,2,131,68,1,0,0,0,0,0,0,0,0,0,0,0
245,202,13,0,275,34,0,0,0,2,134,65,2,0,0,0,0,0,0,0,0,0,0,0
246,203,13,3,274,31,0,0,0,1,131,69,3,0,0,0,0,0,0,0,0,0,0,0
247,204,13,2,271,34,0,0,0,3,130,68,4,0,0,0,0,0,0,0,0,0,0,0
248,205,13,3,270,33,0,0,0,1,125,78,2,0,0,0,0,0,0,0,0,0,0,0
249,206,13,3,269,33,0,0,0,1,123,81,2,0,0,0,0,0,0,0,0,0,0,0
250,207,13,5,260,39,0,0,0,2,130,76,0,0,0,0,0,0,0,0,0,0,0,0
251,208,13,2,259,42,0,0,0,3,139,67,0,0,0,0,0,0,0,0,0,0,0,0
252,209,13,1,263,38,0,0,0,1,145,63,1,0,0,0,0,0,0,0,0,0,0,0
253,209,13,1,268,33,0,0,0,4,146,59,1,0,0,0,0,0,0,0,0,0,0,0
254,210,13,2,267,32,0,0,0,0,152,58,1,0,0,0,0,0,0,0,0,0,0,0
255,211,13,2,267,30,1,0,0,2,152,58,0,0,0,0,0,0,0,0,0,0,0,0
256,212,13,4,267,28,0,0,0,1,153,58,1,0,0,0,0,0,0,0,0,0,0,0
257,212,13,0,269,30,0,0,0,0,152,59,2,0,0,0,0,0,0,0,0,0,0,0
258,213,13,2,265,31,0,0,0,0,150,62,2,0,0,0,0,0,0,0,0,0,0,0
259,214,13,3,263,31,0,0,0,1,148,63,3,0,0,0,0,0,0,0,0,0,0,0
260,214,13,3,262,32,0,0,0,0,149,63,3,0,0,0,0,0,0,0,0,0,0,0
261,215,13,2,261,33,0,0,0,0,147,68,1,0,0,0,0,0,0,0,0,0,0,0
262,216,13,0,262,33,0,0,0,1,146,69,1,0,0,0,0,0,0,0,0,0,0,0
263,217,13,2,260,31,1,0,0,3,142,71,2,0,0,0,0,0,0,0,0,0,0,0
264,218,13,3,263,25,2,0,0,1,146,70,2,0,0,0,0,0,0,0,0,0,0,0
265,218,13,5,260,26,2,0,0,1,151,64,3,0,0,0,0,0,0,0,0,0,0,0
266,219,13,4,254,31,3,0,0,0,151,65,4,0,0,0,0,0,0,0,0,0,0,0
267,220,13,1,257,30,3,0,0,1,153,63,4,0,0,0,0,0,0,0,0,0,0,0
268,219,13,2,251,37,2,0,0,2,154,63,1,0,0,0,0,0,0,0,0,0,0,0
269,219,13,0,254,36,2,0,0,0,156,64,0,0,0,0,0,0,0,0,0,0,0,0
270,220,13,4,244,41,2,0,0,2,152,67,0,0,0,0,0,0,0,0,0,0,0,0
271,221,13,4,241,43,2,0,0,0,152,69,1,0,0,0,0,0,0,0,0,0,0,0
272,222,13,3,239,46,1,0,0,1,156,66,0,0,0,0,0,0,0,0,0,0,0,0
273,223,13,5,236,46,1,0,0,0,156,68,0,0,0,0,0,0,0,0,0,0,0,0
274,224,13,4,243,40,0,0,0,0,154,71,0,0,0,0,0,0,0,0,0,0,0,0
275,225,13,3,243,40,0,0,0,0,152,74,0,0,0,0,0,0,0,0,0,0,0,0
276,226,13,2,240,43,0,0,0,2,150,75,0,0,0,0,0,0,0,0,0,0,0,0
277,227,13,1,244,40,0,0,0,1,147,78,1,0,0,0,0,0,0,0,0,0,0,0
278,228,13,3,244,36,0,0,0,1,146,82,0,0,0,0,0,0,0,0,0,0,0,0
279,229,13,3,241,37,1,0,0,0,148,81,1,0,0,0,0,0,0,0,0,0,0,0
280,230,13,1,240,40,0,0,0,0,151,79,1,0,0,0,0,0,0,0,0,0,0,0
281,231,13,2,238,40,0,0,0,0,145,85,2,0,0,0,0,0,0,0,0,0,0,0
282,231,13,1,241,38,0,0,0,1,138,90,3,0,0,0,0,0,0,0,0,0,0,0
283,232,13,3,234,42,0,0,0,2,136,92,3,0,0,0,0,0,0,0,0,0,0,0
284,233,13,4,232,42,0,0,0,2,137,90,5,0,0,0,0,0,0,0,0,0,0,0
285,234,13,3,227,47,0,0,0,1,137,91,6,0,0,0,0,0,0,0,0,0,0,0
286,235,13,2,231,43,0,0,0,0,140,89,7,0,0,0,0,0,0,0,0,0,0,0
287,236,13,3,229,43,0,0,0,1,138,90,8,0,0,0,0,0,0,0,0,0,0,0
