"leading_edge_index","leading_edge_val","slurm_array_task_id","count","crossed_frac"
360,14,174,7,7e-04
360,15,238,11,0.0011
360,16,302,75,0.0075
360,17,366,1799,0.1799
368,12,47,7,7e-04
368,13,111,8,8e-04
368,14,175,8,8e-04
368,15,239,13,0.0013
368,16,303,54,0.0054
368,17,367,1755,0.1755
376,12,48,11,0.0011
376,13,112,7,7e-04
376,14,176,9,9e-04
376,15,240,7,7e-04
376,16,304,66,0.0066
376,17,368,1690,0.169
384,12,49,7,7e-04
384,13,113,8,8e-04
384,14,177,8,8e-04
384,15,241,19,0.0019
384,16,305,75,0.0075
384,17,369,1684,0.1684
392,12,50,9,9e-04
392,13,114,5,5e-04
392,14,178,11,0.0011
392,15,242,11,0.0011
392,16,306,51,0.0051
392,17,370,1618,0.1618
400,12,51,6,6e-04
400,13,115,10,0.001
400,14,179,6,6e-04
400,15,243,2,2e-04
400,16,307,52,0.0052
400,17,371,1567,0.1567
408,12,52,8,8e-04
408,13,116,8,8e-04
408,14,180,7,7e-04
408,15,244,6,6e-04
408,16,308,56,0.0056
408,17,372,1542,0.1542
416,12,53,8,8e-04
416,13,117,5,5e-04
416,14,181,9,9e-04
416,15,245,7,7e-04
416,16,309,39,0.0039
416,17,373,1462,0.1462
424,12,54,6,6e-04
424,13,118,11,0.0011
424,14,182,9,9e-04
424,15,246,8,8e-04
424,16,310,41,0.0041
424,17,374,1530,0.153
432,12,55,5,5e-04
432,13,119,6,6e-04
432,14,183,8,8e-04
432,15,247,10,0.001
432,16,311,42,0.0042
432,17,375,1440,0.144
440,12,56,6,6e-04
440,13,120,9,9e-04
440,14,184,4,4e-04
440,15,248,6,6e-04
440,16,312,40,0.004
440,17,376,1339,0.1339
448,12,57,4,4e-04
448,13,121,10,0.001
448,14,185,5,5e-04
448,15,249,7,7e-04
448,16,313,39,0.0039
448,17,377,1321,0.1321
456,12,58,9,9e-04
456,13,122,10,0.001
456,14,186,5,5e-04
456,15,250,7,7e-04
456,16,314,51,0.0051
456,17,378,1391,0.1391
464,12,59,3,3e-04
464,13,123,2,2e-04
464,14,187,5,5e-04
464,15,251,6,6e-04
464,16,315,43,0.0043
464,17,379,1327,0.1327
472,12,60,5,5e-04
472,13,124,6,6e-04
472,14,188,4,4e-04
472,15,252,8,8e-04
472,16,316,49,0.0049
472,17,380,1222,0.1222
480,12,61,5,5e-04
480,13,125,4,4e-04
480,14,189,4,4e-04
480,15,253,7,7e-04
480,16,317,44,0.0044
480,17,381,1304,0.1304
488,12,62,4,4e-04
488,13,126,2,2e-04
488,14,190,3,3e-04
488,15,254,5,5e-04
488,16,318,50,0.005
488,17,382,1181,0.1181
496,12,63,4,4e-04
496,13,127,1,1e-04
496,14,191,5,5e-04
496,15,255,5,5e-04
496,16,319,32,0.0032
496,17,383,1107,0.1107
504,12,64,5,5e-04
504,14,192,5,5e-04
504,15,256,5,5e-04
504,16,320,37,0.0037
504,17,384,1177,0.1177
