"slurm_task_id","trial_id","relative_update","cross_counter","cross_counter_str","first_cross_update"
6,843,1680,1,"First",NA
6,915,953,1,"First",NA
6,935,579,1,"First",NA
7,48,734,1,"First",NA
7,159,4935,1,"First",NA
7,448,3568,1,"First",NA
7,459,477,1,"First",NA
7,589,1372,1,"First",NA
7,600,2404,1,"First",NA
7,729,3133,1,"First",NA
7,835,396,1,"First",NA
7,855,881,1,"First",NA
7,930,2005,1,"First",NA
8,2,2276,1,"First",NA
8,178,1428,1,"First",NA
8,198,3761,1,"First",NA
8,272,3467,1,"First",NA
8,343,4672,1,"First",NA
8,447,1629,1,"First",NA
8,592,4837,1,"First",NA
8,656,4637,1,"First",NA
8,699,4953,1,"First",NA
8,721,3163,1,"First",NA
8,751,4767,1,"First",NA
9,13,4350,1,"First",NA
9,120,1274,1,"First",NA
9,222,4878,1,"First",NA
9,225,1879,1,"First",NA
9,227,270,1,"First",NA
9,513,3772,1,"First",NA
9,518,3754,1,"First",NA
9,536,1195,1,"First",NA
9,601,3599,1,"First",NA
9,775,2363,1,"First",NA
9,788,4290,1,"First",NA
9,841,634,1,"First",NA
9,879,3693,1,"First",NA
10,61,4193,1,"First",NA
10,228,592,1,"First",NA
10,339,3327,1,"First",NA
10,490,4311,1,"First",NA
10,525,1600,1,"First",NA
10,548,412,1,"First",NA
10,573,1253,1,"First",NA
10,699,2377,1,"First",NA
10,741,3225,1,"First",NA
10,826,3631,1,"First",NA
10,836,2997,1,"First",NA
10,843,2286,1,"First",NA
10,859,2272,1,"First",NA
10,906,3422,1,"First",NA
10,914,1534,1,"First",NA
10,988,2504,1,"First",NA
11,41,3307,1,"First",NA
11,69,1444,1,"First",NA
11,79,4299,1,"First",NA
11,248,3208,1,"First",NA
11,316,3024,1,"First",NA
11,414,4473,1,"First",NA
11,681,494,1,"First",NA
11,711,468,1,"First",NA
11,786,337,1,"First",NA
11,848,4454,1,"First",NA
11,875,1066,1,"First",NA
11,887,2361,1,"First",NA
11,924,4625,1,"First",NA
11,945,2346,1,"First",NA
11,953,125,1,"First",NA
12,116,489,1,"First",NA
12,128,2306,1,"First",NA
12,135,1752,1,"First",NA
12,157,3860,1,"First",NA
12,198,2908,1,"First",NA
12,316,2186,1,"First",NA
12,352,2626,1,"First",NA
12,554,1460,1,"First",NA
12,610,4101,1,"First",NA
12,643,1189,1,"First",NA
12,796,2484,1,"First",NA
13,28,717,1,"First",NA
13,93,2931,1,"First",NA
13,141,965,1,"First",NA
13,283,4208,1,"First",NA
13,515,3563,1,"First",NA
13,649,3621,1,"First",NA
13,674,3913,1,"First",NA
13,728,2674,1,"First",NA
13,729,1174,1,"First",NA
13,857,1855,1,"First",NA
14,161,3273,1,"First",NA
14,236,4334,1,"First",NA
14,384,3781,1,"First",NA
14,492,3502,1,"First",NA
14,562,4053,1,"First",NA
14,591,1613,1,"First",NA
14,616,911,1,"First",NA
14,847,3834,1,"First",NA
15,3,2673,1,"First",NA
15,89,1107,1,"First",NA
15,125,348,1,"First",NA
15,198,1092,1,"First",NA
15,252,4771,1,"First",NA
15,311,1019,1,"First",NA
15,340,2187,1,"First",NA
15,347,3746,1,"First",NA
15,426,3762,1,"First",NA
15,491,3692,1,"First",NA
15,511,2356,1,"First",NA
15,615,201,1,"First",NA
15,855,1132,1,"First",NA
16,13,3886,1,"First",NA
16,27,4123,1,"First",NA
16,131,3003,1,"First",NA
16,352,4343,1,"First",NA
16,453,2246,1,"First",NA
16,682,2218,1,"First",NA
16,807,819,1,"First",NA
16,959,314,1,"First",NA
17,61,4461,1,"First",NA
17,176,3104,1,"First",NA
17,184,4503,1,"First",NA
17,186,4377,1,"First",NA
17,367,4649,1,"First",NA
17,431,1644,1,"First",NA
17,473,1449,1,"First",NA
17,537,4635,1,"First",NA
17,707,1243,1,"First",NA
17,760,2496,1,"First",NA
17,835,2371,1,"First",NA
17,864,2469,1,"First",NA
17,927,4477,1,"First",NA
17,958,297,1,"First",NA
18,136,391,1,"First",NA
18,364,1758,1,"First",NA
18,371,2762,1,"First",NA
18,401,874,1,"First",NA
18,488,165,1,"First",NA
18,671,4445,1,"First",NA
18,836,3571,1,"First",NA
18,924,2390,1,"First",NA
19,407,3565,1,"First",NA
19,412,1706,1,"First",NA
19,413,608,1,"First",NA
19,567,4081,1,"First",NA
19,570,3609,1,"First",NA
19,688,4612,1,"First",NA
19,740,4500,1,"First",NA
19,947,1052,1,"First",NA
19,977,774,1,"First",NA
19,988,2006,1,"First",NA
20,259,2628,1,"First",NA
20,294,4686,1,"First",NA
20,384,3461,1,"First",NA
20,394,948,1,"First",NA
20,415,2471,1,"First",NA
20,459,2041,1,"First",NA
20,500,3964,1,"First",NA
20,558,747,1,"First",NA
20,581,2878,1,"First",NA
20,676,1139,1,"First",NA
20,721,1557,1,"First",NA
20,728,1874,1,"First",NA
20,858,2345,1,"First",NA
20,920,4520,1,"First",NA
20,923,1234,1,"First",NA
20,927,1196,1,"First",NA
20,963,3028,1,"First",NA
21,60,3659,1,"First",NA
21,268,3475,1,"First",NA
21,313,3675,1,"First",NA
21,356,519,1,"First",NA
21,409,1964,1,"First",NA
21,541,224,1,"First",NA
21,610,4508,1,"First",NA
21,631,4576,1,"First",NA
21,687,815,1,"First",NA
21,739,3697,1,"First",NA
21,899,1649,1,"First",NA
21,909,1419,1,"First",NA
22,291,3863,1,"First",NA
22,385,3607,1,"First",NA
22,469,569,1,"First",NA
22,532,4828,1,"First",NA
22,631,3092,1,"First",NA
22,828,4688,1,"First",NA
22,852,2756,1,"First",NA
23,99,1981,1,"First",NA
23,111,2581,1,"First",NA
23,132,3785,1,"First",NA
23,198,1036,1,"First",NA
23,363,4286,1,"First",NA
23,400,4110,1,"First",NA
23,477,2461,1,"First",NA
23,635,4676,1,"First",NA
23,663,2629,1,"First",NA
23,717,4115,1,"First",NA
23,744,4618,1,"First",NA
23,939,1458,1,"First",NA
24,9,1677,1,"First",NA
24,17,1136,1,"First",NA
24,94,750,1,"First",NA
24,122,1159,1,"First",NA
24,168,2222,1,"First",NA
24,239,1113,1,"First",NA
24,265,1385,1,"First",NA
24,308,4960,1,"First",NA
24,329,2302,1,"First",NA
24,696,584,1,"First",NA
24,815,2301,1,"First",NA
25,4,3531,1,"First",NA
25,25,1870,1,"First",NA
25,54,3413,1,"First",NA
25,58,2096,1,"First",NA
25,212,1849,1,"First",NA
25,321,4576,1,"First",NA
25,357,1338,1,"First",NA
25,377,802,1,"First",NA
25,432,2507,1,"First",NA
25,459,1842,1,"First",NA
25,470,2732,1,"First",NA
25,544,2964,1,"First",NA
25,553,325,1,"First",NA
25,592,2709,1,"First",NA
25,607,4848,1,"First",NA
25,781,1035,1,"First",NA
26,34,4297,1,"First",NA
26,122,1612,1,"First",NA
26,162,4668,1,"First",NA
26,196,1182,1,"First",NA
26,277,3188,1,"First",NA
26,302,2323,1,"First",NA
26,394,919,1,"First",NA
26,400,3297,1,"First",NA
26,444,4746,1,"First",NA
26,549,852,1,"First",NA
26,666,1039,1,"First",NA
26,815,3099,1,"First",NA
26,983,721,1,"First",NA
27,25,1854,1,"First",NA
27,151,3066,1,"First",NA
27,172,1584,1,"First",NA
27,392,3537,1,"First",NA
27,467,4314,1,"First",NA
27,508,4862,1,"First",NA
27,581,611,1,"First",NA
27,644,4350,1,"First",NA
27,730,1257,1,"First",NA
27,809,3153,1,"First",NA
27,911,1697,1,"First",NA
27,946,1987,1,"First",NA
28,90,2535,1,"First",NA
28,95,1800,1,"First",NA
28,278,2367,1,"First",NA
28,298,3564,1,"First",NA
28,339,1811,1,"First",NA
28,478,4117,1,"First",NA
28,609,3790,1,"First",NA
28,648,425,1,"First",NA
28,670,3788,1,"First",NA
28,730,4563,1,"First",NA
28,743,768,1,"First",NA
28,986,4171,1,"First",NA
28,992,4394,1,"First",NA
29,96,2725,1,"First",NA
29,164,3141,1,"First",NA
29,428,991,1,"First",NA
29,433,2605,1,"First",NA
29,442,4304,1,"First",NA
29,470,1439,1,"First",NA
29,530,2072,1,"First",NA
29,559,3872,1,"First",NA
29,567,516,1,"First",NA
29,596,584,1,"First",NA
29,613,1483,1,"First",NA
29,645,283,1,"First",NA
29,736,1648,1,"First",NA
29,877,1650,1,"First",NA
29,881,3072,1,"First",NA
29,906,4107,1,"First",NA
30,16,2388,1,"First",NA
30,35,207,1,"First",NA
30,67,2669,1,"First",NA
30,74,4667,1,"First",NA
30,78,109,1,"First",NA
30,135,3284,1,"First",NA
30,238,1950,1,"First",NA
30,262,1748,1,"First",NA
30,421,3625,1,"First",NA
30,445,2690,1,"First",NA
30,557,2192,1,"First",NA
30,654,4593,1,"First",NA
30,686,3758,1,"First",NA
30,927,2608,1,"First",NA
30,959,1904,1,"First",NA
30,980,4838,1,"First",NA
30,995,1567,1,"First",NA
31,51,4553,1,"First",NA
31,129,1882,1,"First",NA
31,357,1038,1,"First",NA
31,495,2422,1,"First",NA
31,524,1181,1,"First",NA
31,627,4130,1,"First",NA
31,630,4494,1,"First",NA
31,742,3841,1,"First",NA
31,771,4831,1,"First",NA
31,833,685,1,"First",NA
31,837,2358,1,"First",NA
31,954,3643,1,"First",NA
32,76,1553,1,"First",NA
32,134,3375,1,"First",NA
32,304,172,1,"First",NA
32,329,2288,1,"First",NA
32,361,4570,1,"First",NA
32,367,3416,1,"First",NA
32,472,2578,1,"First",NA
32,474,4664,1,"First",NA
32,551,690,1,"First",NA
32,560,1245,1,"First",NA
32,621,424,1,"First",NA
32,638,4415,1,"First",NA
32,748,3100,1,"First",NA
32,915,4101,1,"First",NA
32,955,2900,1,"First",NA
32,986,152,1,"First",NA
33,47,4238,1,"First",NA
33,173,952,1,"First",NA
33,350,120,1,"First",NA
33,462,1089,1,"First",NA
33,532,2346,1,"First",NA
33,805,3449,1,"First",NA
33,955,1675,1,"First",NA
34,24,4760,1,"First",NA
34,86,1543,1,"First",NA
34,232,902,1,"First",NA
34,249,3447,1,"First",NA
34,289,4528,1,"First",NA
34,516,3265,1,"First",NA
34,565,1432,1,"First",NA
34,726,2561,1,"First",NA
34,841,4115,1,"First",NA
34,931,890,1,"First",NA
34,936,4388,1,"First",NA
34,949,3486,1,"First",NA
35,4,4561,1,"First",NA
35,129,4343,1,"First",NA
35,155,3845,1,"First",NA
35,163,2359,1,"First",NA
35,451,3733,1,"First",NA
35,456,2154,1,"First",NA
35,621,2368,1,"First",NA
35,742,1893,1,"First",NA
35,790,1193,1,"First",NA
35,802,1349,1,"First",NA
35,893,3297,1,"First",NA
35,930,1890,1,"First",NA
36,11,258,1,"First",NA
36,238,2273,1,"First",NA
36,251,4604,1,"First",NA
36,262,4289,1,"First",NA
36,278,2870,1,"First",NA
36,574,481,1,"First",NA
36,578,4001,1,"First",NA
36,607,3616,1,"First",NA
36,650,3713,1,"First",NA
36,770,1667,1,"First",NA
36,776,2397,1,"First",NA
36,840,2598,1,"First",NA
36,858,2333,1,"First",NA
36,966,4887,1,"First",NA
37,73,1132,1,"First",NA
37,93,4082,1,"First",NA
37,326,513,1,"First",NA
37,461,3100,1,"First",NA
37,514,2214,1,"First",NA
37,549,2542,1,"First",NA
37,559,709,1,"First",NA
37,622,3764,1,"First",NA
37,628,3977,1,"First",NA
37,635,1953,1,"First",NA
37,644,1201,1,"First",NA
37,651,1357,1,"First",NA
37,672,2953,1,"First",NA
37,830,4318,1,"First",NA
37,836,4488,1,"First",NA
37,837,351,1,"First",NA
37,931,1551,1,"First",NA
38,56,162,1,"First",NA
38,160,2177,1,"First",NA
38,208,4459,1,"First",NA
38,321,4759,1,"First",NA
38,388,4336,1,"First",NA
38,428,4962,1,"First",NA
38,579,3231,1,"First",NA
38,722,953,1,"First",NA
38,796,4375,1,"First",NA
38,869,335,1,"First",NA
38,918,1242,1,"First",NA
38,923,4170,1,"First",NA
39,23,2547,1,"First",NA
39,344,1960,1,"First",NA
39,433,3864,1,"First",NA
39,445,4024,1,"First",NA
39,467,3357,1,"First",NA
39,526,4512,1,"First",NA
39,581,442,1,"First",NA
39,588,3789,1,"First",NA
39,602,3720,1,"First",NA
39,659,2202,1,"First",NA
39,661,4889,1,"First",NA
39,703,1607,1,"First",NA
39,732,3839,1,"First",NA
39,767,4799,1,"First",NA
39,847,2501,1,"First",NA
39,862,2534,1,"First",NA
39,866,781,1,"First",NA
39,989,2695,1,"First",NA
40,143,1401,1,"First",NA
40,180,3919,1,"First",NA
40,196,3190,1,"First",NA
40,291,4038,1,"First",NA
40,305,4285,1,"First",NA
40,382,1051,1,"First",NA
40,449,1587,1,"First",NA
40,490,4943,1,"First",NA
40,590,426,1,"First",NA
40,683,2800,1,"First",NA
40,685,1906,1,"First",NA
40,785,301,1,"First",NA
40,797,1261,1,"First",NA
40,833,2738,1,"First",NA
40,870,1082,1,"First",NA
40,958,1026,1,"First",NA
40,973,1457,1,"First",NA
40,993,2755,1,"First",NA
41,66,854,1,"First",NA
41,298,2967,1,"First",NA
41,383,4887,1,"First",NA
41,400,4657,1,"First",NA
41,527,3649,1,"First",NA
41,568,1904,1,"First",NA
41,671,3208,1,"First",NA
41,685,2081,1,"First",NA
41,742,4897,1,"First",NA
41,952,513,1,"First",NA
41,963,4699,1,"First",NA
41,987,4968,1,"First",NA
42,48,1844,1,"First",NA
42,80,4464,1,"First",NA
42,101,1314,1,"First",NA
42,157,2285,1,"First",NA
42,228,2510,1,"First",NA
42,312,1000,1,"First",NA
42,325,2860,1,"First",NA
42,416,4963,1,"First",NA
42,560,1447,1,"First",NA
42,583,3355,1,"First",NA
42,600,355,1,"First",NA
42,619,1060,1,"First",NA
42,733,3091,1,"First",NA
42,881,2089,1,"First",NA
42,930,368,1,"First",NA
42,952,876,1,"First",NA
43,60,599,1,"First",NA
43,75,2823,1,"First",NA
43,185,2115,1,"First",NA
43,265,3178,1,"First",NA
43,286,2687,1,"First",NA
43,306,4014,1,"First",NA
43,351,777,1,"First",NA
43,454,4619,1,"First",NA
43,498,4589,1,"First",NA
43,536,3291,1,"First",NA
43,638,3746,1,"First",NA
43,655,3522,1,"First",NA
43,676,846,1,"First",NA
43,712,775,1,"First",NA
43,715,4976,1,"First",NA
43,796,4426,1,"First",NA
43,815,4206,1,"First",NA
44,92,362,1,"First",NA
44,99,4276,1,"First",NA
44,189,956,1,"First",NA
44,329,1381,1,"First",NA
44,374,724,1,"First",NA
44,445,840,1,"First",NA
44,446,4954,1,"First",NA
44,569,4941,1,"First",NA
44,759,4154,1,"First",NA
44,801,4781,1,"First",NA
44,810,3129,1,"First",NA
44,891,1805,1,"First",NA
44,974,3739,1,"First",NA
45,37,1893,1,"First",NA
45,141,2954,1,"First",NA
45,188,527,1,"First",NA
45,219,1953,1,"First",NA
45,339,2620,1,"First",NA
45,643,76,1,"First",NA
45,847,3715,1,"First",NA
45,854,4085,1,"First",NA
46,140,3113,1,"First",NA
46,477,389,1,"First",NA
46,518,3611,1,"First",NA
46,669,3206,1,"First",NA
46,727,2582,1,"First",NA
46,769,2720,1,"First",NA
46,879,1804,1,"First",NA
46,934,661,1,"First",NA
47,84,4803,1,"First",NA
47,85,2247,1,"First",NA
47,197,4356,1,"First",NA
47,482,3526,1,"First",NA
47,483,507,1,"First",NA
47,553,4192,1,"First",NA
47,675,2368,1,"First",NA
47,784,2078,1,"First",NA
47,816,3576,1,"First",NA
47,930,280,1,"First",NA
48,28,2926,1,"First",NA
48,44,2680,1,"First",NA
48,76,2353,1,"First",NA
48,226,4325,1,"First",NA
48,313,3819,1,"First",NA
48,318,3574,1,"First",NA
48,461,4885,1,"First",NA
48,491,483,1,"First",NA
48,578,236,1,"First",NA
48,674,3812,1,"First",NA
48,692,1446,1,"First",NA
48,827,3484,1,"First",NA
48,839,2309,1,"First",NA
48,849,2248,1,"First",NA
48,912,1069,1,"First",NA
48,927,2063,1,"First",NA
48,982,2276,1,"First",NA
49,132,3185,1,"First",NA
49,368,1115,1,"First",NA
49,756,2126,1,"First",NA
49,772,4301,1,"First",NA
49,992,4706,1,"First",NA
50,3,2034,1,"First",NA
50,249,3443,1,"First",NA
50,408,3305,1,"First",NA
50,541,604,1,"First",NA
50,748,901,1,"First",NA
50,853,4514,1,"First",NA
51,16,2099,1,"First",NA
51,53,967,1,"First",NA
51,105,3813,1,"First",NA
51,120,3165,1,"First",NA
51,329,3890,1,"First",NA
51,476,2553,1,"First",NA
51,481,267,1,"First",NA
51,486,1946,1,"First",NA
51,527,3337,1,"First",NA
51,684,4603,1,"First",NA
51,825,1948,1,"First",NA
51,852,1416,1,"First",NA
51,938,4724,1,"First",NA
52,10,4044,1,"First",NA
52,57,4878,1,"First",NA
52,98,1627,1,"First",NA
52,289,642,1,"First",NA
52,381,2109,1,"First",NA
52,435,3865,1,"First",NA
52,478,2880,1,"First",NA
52,601,1354,1,"First",NA
52,760,3591,1,"First",NA
52,878,4002,1,"First",NA
53,117,1869,1,"First",NA
53,126,2491,1,"First",NA
53,137,3890,1,"First",NA
53,153,2409,1,"First",NA
53,200,3842,1,"First",NA
53,441,2621,1,"First",NA
53,464,2182,1,"First",NA
53,530,4400,1,"First",NA
53,668,317,1,"First",NA
53,676,4393,1,"First",NA
53,725,1477,1,"First",NA
53,842,1713,1,"First",NA
53,846,1190,1,"First",NA
53,921,4518,1,"First",NA
53,925,3046,1,"First",NA
53,993,1300,1,"First",NA
54,66,4287,1,"First",NA
54,90,4137,1,"First",NA
54,101,3264,1,"First",NA
54,138,4129,1,"First",NA
54,378,1386,1,"First",NA
54,515,1638,1,"First",NA
54,633,626,1,"First",NA
54,634,204,1,"First",NA
54,765,1636,1,"First",NA
54,785,4340,1,"First",NA
54,816,1942,1,"First",NA
54,831,3893,1,"First",NA
54,851,331,1,"First",NA
54,891,4515,1,"First",NA
54,895,1409,1,"First",NA
54,941,947,1,"First",NA
54,954,2114,1,"First",NA
55,39,2785,1,"First",NA
55,106,4824,1,"First",NA
55,297,1767,1,"First",NA
55,311,2394,1,"First",NA
55,530,749,1,"First",NA
55,571,4235,1,"First",NA
55,604,3825,1,"First",NA
55,647,4356,1,"First",NA
55,676,3006,1,"First",NA
55,760,2306,1,"First",NA
55,770,1678,1,"First",NA
55,924,2117,1,"First",NA
56,76,2506,1,"First",NA
56,233,584,1,"First",NA
56,286,3331,1,"First",NA
56,331,2395,1,"First",NA
56,383,1037,1,"First",NA
56,436,1048,1,"First",NA
56,531,4293,1,"First",NA
56,567,3698,1,"First",NA
56,607,1994,1,"First",NA
56,650,2189,1,"First",NA
56,891,2798,1,"First",NA
56,907,3155,1,"First",NA
57,29,4699,1,"First",NA
57,56,3830,1,"First",NA
57,82,4796,1,"First",NA
57,108,1833,1,"First",NA
57,136,1072,1,"First",NA
57,145,765,1,"First",NA
57,155,2135,1,"First",NA
57,250,2421,1,"First",NA
57,285,3737,1,"First",NA
57,373,3533,1,"First",NA
57,402,2117,1,"First",NA
57,419,2246,1,"First",NA
57,429,2128,1,"First",NA
57,444,2978,1,"First",NA
57,733,1787,1,"First",NA
57,818,726,1,"First",NA
57,862,4108,1,"First",NA
57,969,4735,1,"First",NA
57,998,602,1,"First",NA
58,13,2644,1,"First",NA
58,132,4659,1,"First",NA
58,172,2628,1,"First",NA
58,197,317,1,"First",NA
58,210,4753,1,"First",NA
58,484,577,1,"First",NA
58,789,283,1,"First",NA
58,913,4638,1,"First",NA
58,975,4691,1,"First",NA
59,94,1019,1,"First",NA
59,103,4341,1,"First",NA
59,123,4366,1,"First",NA
59,461,1691,1,"First",NA
59,481,3105,1,"First",NA
59,617,4630,1,"First",NA
59,705,2220,1,"First",NA
59,819,1740,1,"First",NA
59,857,1139,1,"First",NA
59,897,1582,1,"First",NA
60,121,339,1,"First",NA
60,194,369,1,"First",NA
60,263,2958,1,"First",NA
60,351,3156,1,"First",NA
60,441,441,1,"First",NA
60,478,2634,1,"First",NA
60,611,1553,1,"First",NA
60,668,2947,1,"First",NA
60,682,4307,1,"First",NA
60,743,574,1,"First",NA
60,886,1973,1,"First",NA
60,957,732,1,"First",NA
60,965,3371,1,"First",NA
61,199,868,1,"First",NA
61,237,4321,1,"First",NA
61,267,4807,1,"First",NA
61,295,3307,1,"First",NA
61,549,2969,1,"First",NA
61,578,1227,1,"First",NA
61,602,2351,1,"First",NA
61,619,3958,1,"First",NA
61,676,1738,1,"First",NA
61,807,2127,1,"First",NA
61,872,957,1,"First",NA
61,965,426,1,"First",NA
62,27,4354,1,"First",NA
62,38,2892,1,"First",NA
62,96,109,1,"First",NA
62,123,3677,1,"First",NA
62,130,2184,1,"First",NA
62,204,3045,1,"First",NA
62,370,3325,1,"First",NA
62,374,3954,1,"First",NA
62,423,695,1,"First",NA
62,431,4291,1,"First",NA
62,453,1094,1,"First",NA
62,464,3271,1,"First",NA
62,536,4775,1,"First",NA
62,617,3094,1,"First",NA
62,656,457,1,"First",NA
62,674,2619,1,"First",NA
62,714,2115,1,"First",NA
62,752,4008,1,"First",NA
62,761,2844,1,"First",NA
62,925,1920,1,"First",NA
62,980,3359,1,"First",NA
62,991,1865,1,"First",NA
63,59,2755,1,"First",NA
63,153,3470,1,"First",NA
63,182,3834,1,"First",NA
63,382,3044,1,"First",NA
63,389,343,1,"First",NA
63,414,2181,1,"First",NA
63,433,335,1,"First",NA
63,568,540,1,"First",NA
63,625,3916,1,"First",NA
63,645,98,1,"First",NA
63,716,2774,1,"First",NA
64,46,915,1,"First",NA
64,71,1187,1,"First",NA
64,118,190,1,"First",NA
64,291,4464,1,"First",NA
64,299,1718,1,"First",NA
64,312,2550,1,"First",NA
64,466,3422,1,"First",NA
64,486,2414,1,"First",NA
64,496,2669,1,"First",NA
64,503,3124,1,"First",NA
64,542,4558,1,"First",NA
64,718,890,1,"First",NA
64,721,4498,1,"First",NA
64,867,3703,1,"First",NA
64,917,1996,1,"First",NA
64,943,3335,1,"First",NA
65,103,179,1,"First",NA
65,226,3908,1,"First",NA
65,281,4621,1,"First",NA
65,299,3762,1,"First",NA
65,303,2665,1,"First",NA
65,357,3654,1,"First",NA
65,386,3201,1,"First",NA
65,456,2143,1,"First",NA
65,494,1415,1,"First",NA
65,523,4812,1,"First",NA
65,529,1962,1,"First",NA
65,550,1767,1,"First",NA
65,752,4776,1,"First",NA
65,794,3754,1,"First",NA
65,869,4308,1,"First",NA
65,910,1839,1,"First",NA
65,961,4193,1,"First",NA
66,72,1771,1,"First",NA
66,218,148,1,"First",NA
66,228,1484,1,"First",NA
66,375,1054,1,"First",NA
66,565,3401,1,"First",NA
66,631,4080,1,"First",NA
66,701,1030,1,"First",NA
66,716,2760,1,"First",NA
66,788,4641,1,"First",NA
66,800,3553,1,"First",NA
66,855,3751,1,"First",NA
66,901,4429,1,"First",NA
66,994,4301,1,"First",NA
67,19,1258,1,"First",NA
67,93,1560,1,"First",NA
67,305,3360,1,"First",NA
67,307,2492,1,"First",NA
67,478,2290,1,"First",NA
67,560,3578,1,"First",NA
67,734,2442,1,"First",NA
67,779,4756,1,"First",NA
67,799,271,1,"First",NA
67,935,928,1,"First",NA
68,196,858,1,"First",NA
68,219,3130,1,"First",NA
68,245,788,1,"First",NA
68,288,2798,1,"First",NA
68,305,2822,1,"First",NA
68,361,503,1,"First",NA
68,422,1592,1,"First",NA
68,469,536,1,"First",NA
68,472,2835,1,"First",NA
68,576,818,1,"First",NA
68,600,3993,1,"First",NA
68,625,1163,1,"First",NA
68,675,3063,1,"First",NA
68,765,1025,1,"First",NA
68,845,3465,1,"First",NA
68,930,3326,1,"First",NA
68,935,1877,1,"First",NA
69,19,3815,1,"First",NA
69,51,4653,1,"First",NA
69,135,2912,1,"First",NA
69,258,1773,1,"First",NA
69,316,3082,1,"First",NA
69,405,1706,1,"First",NA
69,485,1244,1,"First",NA
69,551,4185,1,"First",NA
69,557,1949,1,"First",NA
69,571,2196,1,"First",NA
69,609,4885,1,"First",NA
69,724,4094,1,"First",NA
69,731,1304,1,"First",NA
69,966,1152,1,"First",NA
69,995,4282,1,"First",NA
70,77,344,1,"First",NA
70,152,3505,1,"First",NA
70,171,1050,1,"First",NA
70,197,609,1,"First",NA
70,333,332,1,"First",NA
70,336,2563,1,"First",NA
70,379,941,1,"First",NA
70,413,1547,1,"First",NA
70,520,2732,1,"First",NA
70,555,4981,1,"First",NA
70,611,3309,1,"First",NA
70,614,2581,1,"First",NA
70,780,1395,1,"First",NA
70,924,1246,1,"First",NA
70,985,3682,1,"First",NA
71,8,3479,1,"First",NA
71,213,2714,1,"First",NA
71,228,4281,1,"First",NA
71,280,2715,1,"First",NA
71,359,637,1,"First",NA
71,537,4073,1,"First",NA
71,633,4376,1,"First",NA
71,725,2494,1,"First",NA
71,735,3305,1,"First",NA
71,877,3220,1,"First",NA
71,944,2592,1,"First",NA
72,4,3598,1,"First",NA
72,10,4632,1,"First",NA
72,64,1933,1,"First",NA
72,73,3838,1,"First",NA
72,98,3067,1,"First",NA
72,200,2096,1,"First",NA
72,291,3378,1,"First",NA
72,319,1616,1,"First",NA
72,465,4959,1,"First",NA
72,482,3531,1,"First",NA
72,614,195,1,"First",NA
72,622,4461,1,"First",NA
72,658,2871,1,"First",NA
72,848,912,1,"First",NA
73,242,2276,1,"First",NA
73,246,3580,1,"First",NA
73,313,552,1,"First",NA
73,752,930,1,"First",NA
73,779,4500,1,"First",NA
73,847,1149,1,"First",NA
73,963,1821,1,"First",NA
74,43,4545,1,"First",NA
74,105,4004,1,"First",NA
74,194,3334,1,"First",NA
74,652,4938,1,"First",NA
74,715,3954,1,"First",NA
74,877,3774,1,"First",NA
75,335,898,1,"First",NA
75,584,2184,1,"First",NA
75,645,4673,1,"First",NA
75,660,1026,1,"First",NA
75,676,3926,1,"First",NA
