"slurm_task_id","trial_id","relative_update","cross_counter","cross_counter_str","first_cross_update"
168,955,1504,2,"Second",690
170,655,703,2,"Second",1426
170,975,197,2,"Second",2396
171,187,247,2,"Second",2905
171,440,162,2,"Second",2374
173,652,558,2,"Second",4967
173,795,345,2,"Second",678
173,799,468,2,"Second",3187
173,951,419,2,"Second",1522
174,747,228,2,"Second",4350
174,776,319,2,"Second",1654
174,977,570,2,"Second",989
175,750,213,2,"Second",4655
177,838,617,2,"Second",2063
177,842,287,2,"Second",3347
178,160,215,2,"Second",1452
178,338,200,2,"Second",4940
179,393,664,2,"Second",2956
179,645,385,2,"Second",4076
180,512,471,2,"Second",3920
180,622,350,2,"Second",1534
181,621,378,2,"Second",1334
182,150,618,2,"Second",540
182,417,550,2,"Second",107
182,742,364,2,"Second",162
183,67,151,2,"Second",1602
183,168,303,2,"Second",1423
183,525,237,2,"Second",282
183,548,359,2,"Second",4943
184,494,447,2,"Second",1296
184,536,631,2,"Second",2101
184,577,325,2,"Second",4842
184,656,532,2,"Second",775
185,88,402,2,"Second",2542
186,330,331,2,"Second",4123
187,148,434,2,"Second",961
187,556,396,2,"Second",2623
187,807,590,2,"Second",3472
189,334,432,2,"Second",4131
189,539,468,2,"Second",2783
190,36,367,2,"Second",2455
190,207,352,2,"Second",447
191,425,479,2,"Second",2866
192,44,381,2,"Second",4729
192,467,282,2,"Second",1337
192,933,376,2,"Second",3037
192,940,399,2,"Second",642
192,997,583,2,"Second",3169
193,99,430,2,"Second",4464
193,272,297,2,"Second",4098
193,773,332,2,"Second",282
193,782,3930,2,"Second",4331
194,162,454,2,"Second",883
194,314,186,2,"Second",1076
194,669,212,2,"Second",1985
194,932,411,2,"Second",1264
195,148,351,2,"Second",1922
195,545,264,2,"Second",4351
197,15,427,2,"Second",532
197,281,238,2,"Second",1624
197,358,455,2,"Second",612
199,117,392,2,"Second",2822
199,263,298,2,"Second",4007
200,191,363,2,"Second",3509
200,484,730,2,"Second",4552
202,156,1030,2,"Second",2158
202,916,397,2,"Second",3145
203,39,251,2,"Second",2080
203,224,360,2,"Second",2894
203,357,398,2,"Second",4700
203,693,471,2,"Second",2788
204,292,327,2,"Second",3614
204,365,511,2,"Second",2958
204,634,372,2,"Second",318
204,767,506,2,"Second",844
205,463,230,2,"Second",1351
205,720,384,2,"Second",1024
205,870,125,2,"Second",3888
206,157,414,2,"Second",870
206,614,193,2,"Second",2953
206,655,349,2,"Second",3705
206,738,344,2,"Second",4285
206,834,305,2,"Second",3867
207,604,380,2,"Second",2843
210,259,393,2,"Second",4630
210,444,388,2,"Second",2724
212,41,499,2,"Second",536
212,372,2221,2,"Second",3374
213,329,588,2,"Second",3948
213,351,458,2,"Second",1694
213,569,608,2,"Second",2180
213,669,529,2,"Second",3070
215,276,356,2,"Second",502
215,922,433,2,"Second",2881
216,64,323,2,"Second",699
216,423,332,2,"Second",2338
216,591,565,2,"Second",2804
217,361,393,2,"Second",841
217,467,435,2,"Second",3566
217,599,607,2,"Second",319
217,817,1792,2,"Second",849
217,974,1876,2,"Second",2181
218,125,709,2,"Second",1895
218,346,460,2,"Second",4576
218,471,698,2,"Second",4725
219,533,236,2,"Second",4451
219,893,493,2,"Second",2377
220,674,409,2,"Second",3280
221,75,327,2,"Second",4652
221,81,306,2,"Second",3708
221,497,436,2,"Second",2445
222,795,554,2,"Second",2975
223,300,474,2,"Second",3888
223,507,340,2,"Second",712
225,134,683,2,"Second",588
226,50,605,2,"Second",1267
226,367,618,2,"Second",3678
226,700,516,2,"Second",4214
226,832,454,2,"Second",905
226,848,170,2,"Second",2594
227,506,381,2,"Second",4354
227,553,344,2,"Second",2348
228,352,253,2,"Second",1478
228,516,2135,2,"Second",617
228,546,508,2,"Second",4897
228,858,223,2,"Second",1678
228,981,463,2,"Second",2798
229,351,459,2,"Second",1578
229,842,550,2,"Second",1767
231,773,338,2,"Second",4299
232,286,226,2,"Second",3176
232,492,373,2,"Second",2220
233,101,434,2,"Second",1380
233,891,501,2,"Second",4877
233,954,380,2,"Second",1473
234,851,802,2,"Second",614
236,583,259,2,"Second",4424
237,803,271,2,"Second",4213
240,448,547,2,"Second",2525
241,257,186,2,"Second",4794
242,58,397,2,"Second",1741
243,311,388,2,"Second",2263
243,637,236,2,"Second",3884
244,746,512,2,"Second",1421
246,28,237,2,"Second",2538
246,775,157,2,"Second",3843
246,853,2359,2,"Second",161
247,501,572,2,"Second",4063
247,913,265,2,"Second",3980
247,993,250,2,"Second",3580
248,225,547,2,"Second",3455
248,254,178,2,"Second",3033
248,736,606,2,"Second",227
249,45,3735,2,"Second",735
249,198,269,2,"Second",1026
249,734,538,2,"Second",4832
249,769,286,2,"Second",497
249,920,375,2,"Second",2684
251,699,405,2,"Second",528
252,46,198,2,"Second",2191
253,482,393,2,"Second",3866
253,603,709,2,"Second",2763
254,375,152,2,"Second",2462
254,671,428,2,"Second",4002
256,261,4549,2,"Second",3434
257,212,380,2,"Second",4514
259,171,252,2,"Second",353
261,802,494,2,"Second",1474
262,464,469,2,"Second",1933
263,671,344,2,"Second",1820
264,557,311,2,"Second",739
266,201,304,2,"Second",650
266,326,365,2,"Second",1914
266,330,455,2,"Second",3585
266,580,4548,2,"Second",975
267,252,263,2,"Second",1172
267,589,282,2,"Second",1023
267,596,473,2,"Second",1103
267,892,504,2,"Second",3990
268,310,256,2,"Second",3154
268,972,556,2,"Second",3903
269,244,418,2,"Second",422
269,352,286,2,"Second",1614
270,167,349,2,"Second",4582
270,987,490,2,"Second",4425
271,891,356,2,"Second",3359
272,472,434,2,"Second",4861
272,713,310,2,"Second",450
273,632,172,2,"Second",3143
273,970,1518,2,"Second",3862
274,371,660,2,"Second",4875
274,800,303,2,"Second",4392
275,109,483,2,"Second",2839
276,494,219,2,"Second",2929
277,3,458,2,"Second",1216
279,70,548,2,"Second",290
279,98,626,2,"Second",3941
279,517,453,2,"Second",4809
280,263,317,2,"Second",2005
280,919,506,2,"Second",584
281,315,601,2,"Second",4511
282,216,312,2,"Second",1796
283,223,500,2,"Second",821
284,885,380,2,"Second",4383
285,7,572,2,"Second",3615
286,388,395,2,"Second",544
287,67,453,2,"Second",2915
288,368,277,2,"Second",222
288,544,240,2,"Second",3457
288,940,217,2,"Second",4399
289,835,469,2,"Second",4707
290,417,497,2,"Second",4396
290,563,278,2,"Second",2222
291,148,2999,2,"Second",2229
292,885,474,2,"Second",2996
293,40,379,2,"Second",1524
295,331,241,2,"Second",1982
295,656,604,2,"Second",421
296,714,325,2,"Second",1810
296,848,431,2,"Second",1343
297,739,311,2,"Second",2717
297,839,619,2,"Second",2658
298,220,374,2,"Second",4882
298,445,418,2,"Second",1758
299,371,550,2,"Second",710
299,916,2586,2,"Second",1619
300,134,329,2,"Second",4977
300,160,348,2,"Second",2267
300,558,621,2,"Second",4093
300,577,3287,2,"Second",454
301,278,472,2,"Second",2748
302,647,115,2,"Second",4490
303,332,462,2,"Second",1968
304,330,390,2,"Second",4040
304,962,292,2,"Second",1391
305,361,665,2,"Second",3155
305,394,192,2,"Second",4006
305,632,434,2,"Second",705
305,929,228,2,"Second",4356
306,414,181,2,"Second",2531
306,656,579,2,"Second",2331
306,805,310,2,"Second",1798
307,121,407,2,"Second",3374
307,292,272,2,"Second",4383
308,66,641,2,"Second",4715
308,81,263,2,"Second",1721
308,325,510,2,"Second",3432
309,588,337,2,"Second",2499
311,45,395,2,"Second",4984
311,118,348,2,"Second",946
311,160,372,2,"Second",3245
312,277,392,2,"Second",1881
312,871,297,2,"Second",3773
315,339,164,2,"Second",2024
315,883,141,2,"Second",3588
316,82,441,2,"Second",3982
318,578,249,2,"Second",1871
319,90,1175,2,"Second",867
319,503,293,2,"Second",3739
319,896,348,2,"Second",3603
320,99,288,2,"Second",3650
320,495,755,2,"Second",3748
320,562,365,2,"Second",363
321,541,388,2,"Second",3058
321,952,370,2,"Second",2303
322,515,472,2,"Second",252
323,204,157,2,"Second",1829
323,371,393,2,"Second",2532
323,507,4415,2,"Second",4046
324,21,530,2,"Second",2579
324,537,563,2,"Second",1595
324,594,533,2,"Second",744
325,49,253,2,"Second",3689
325,308,319,2,"Second",1112
325,384,551,2,"Second",647
325,404,391,2,"Second",3684
325,954,570,2,"Second",522
326,268,422,2,"Second",931
326,564,446,2,"Second",2418
326,745,195,2,"Second",340
326,977,190,2,"Second",3184
328,434,506,2,"Second",4365
328,556,183,2,"Second",2729
328,862,281,2,"Second",2687
328,914,4321,2,"Second",1585
329,399,410,2,"Second",1687
329,408,333,2,"Second",4692
330,305,3916,2,"Second",4395
333,532,527,2,"Second",3822
333,608,714,2,"Second",4428
