"leading_edge_index","leading_edge_val","slurm_array_task_id","count","crossed_frac"
336,16,299,131,0.0131
336,17,363,3018,0.3018
344,12,44,10,0.001
344,13,108,8,8e-04
344,14,172,13,0.0013
344,15,236,13,0.0013
344,16,300,168,0.0168
344,17,364,2986,0.2986
352,12,45,11,0.0011
352,13,109,7,7e-04
352,14,173,11,0.0011
352,15,237,16,0.0016
352,16,301,149,0.0149
352,17,365,3062,0.3062
360,12,46,12,0.0012
360,13,110,4,4e-04
360,14,174,14,0.0014
360,15,238,22,0.0022
360,16,302,153,0.0153
360,17,366,2995,0.2995
368,12,47,11,0.0011
368,13,111,8,8e-04
368,14,175,6,6e-04
368,15,239,10,0.001
368,16,303,147,0.0147
368,17,367,3040,0.304
376,12,48,4,4e-04
376,13,112,8,8e-04
376,14,176,9,9e-04
376,15,240,11,0.0011
376,16,304,129,0.0129
376,17,368,3023,0.3023
384,12,49,7,7e-04
384,13,113,12,0.0012
384,14,177,7,7e-04
384,15,241,15,0.0015
384,16,305,159,0.0159
384,17,369,3113,0.3113
392,12,50,13,0.0013
392,13,114,7,7e-04
392,14,178,4,4e-04
392,15,242,13,0.0013
392,16,306,159,0.0159
392,17,370,3008,0.3008
400,12,51,14,0.0014
400,13,115,9,9e-04
400,14,179,5,5e-04
400,15,243,11,0.0011
400,16,307,152,0.0152
400,17,371,3041,0.3041
408,12,52,6,6e-04
408,13,116,9,9e-04
408,14,180,5,5e-04
408,15,244,20,0.002
408,16,308,146,0.0146
408,17,372,3034,0.3034
416,12,53,4,4e-04
416,13,117,10,0.001
416,14,181,7,7e-04
416,15,245,14,0.0014
416,16,309,144,0.0144
416,17,373,3166,0.3166
424,12,54,5,5e-04
424,13,118,4,4e-04
424,14,182,6,6e-04
424,15,246,15,0.0015
424,16,310,138,0.0138
424,17,374,3104,0.3104
432,12,55,8,8e-04
432,13,119,2,2e-04
432,14,183,15,0.0015
432,15,247,17,0.0017
432,16,311,141,0.0141
432,17,375,3065,0.3065
440,12,56,7,7e-04
440,13,120,5,5e-04
440,14,184,3,3e-04
440,15,248,14,0.0014
440,16,312,163,0.0163
440,17,376,2984,0.2984
448,12,57,3,3e-04
448,13,121,7,7e-04
448,14,185,3,3e-04
448,15,249,6,6e-04
448,16,313,135,0.0135
448,17,377,3016,0.3016
456,12,58,7,7e-04
456,13,122,6,6e-04
456,14,186,5,5e-04
456,15,250,8,8e-04
456,16,314,141,0.0141
456,17,378,3038,0.3038
464,12,59,4,4e-04
464,13,123,7,7e-04
464,14,187,9,9e-04
464,15,251,10,0.001
464,16,315,139,0.0139
464,17,379,3099,0.3099
472,12,60,1,1e-04
472,13,124,7,7e-04
472,14,188,3,3e-04
472,15,252,14,0.0014
472,16,316,143,0.0143
472,17,380,3047,0.3047
480,12,61,7,7e-04
480,13,125,2,2e-04
480,14,189,10,0.001
480,15,253,11,0.0011
480,16,317,179,0.0179
480,17,381,3001,0.3001
488,12,62,5,5e-04
488,13,126,2,2e-04
488,14,190,5,5e-04
488,15,254,16,0.0016
488,16,318,173,0.0173
488,17,382,3029,0.3029
496,12,63,2,2e-04
496,13,127,5,5e-04
496,14,191,4,4e-04
496,15,255,14,0.0014
496,16,319,144,0.0144
496,17,383,3035,0.3035
504,12,64,3,3e-04
504,13,128,8,8e-04
504,14,192,5,5e-04
504,15,256,11,0.0011
504,16,320,131,0.0131
504,17,384,2977,0.2977
