"","leading_edge_index","leading_edge_val","crossed_frac_7","crossed_frac_0","crossed_frac_11","crossed_frac_3","crossed_frac_15","count_7","count_0","count_11","count_3","count_15"
"77",96,16,0.8995,0.6189,0.9093,0.8794,0.9156,8995,6189,9093,8794,9156
"78",96,17,0.9962,0.6383,0.9984,0.9827,0.9994,9962,6383,9984,9827,9994
"79",104,12,0.123,0.1226,0.1187,0.1155,0.1184,1230,1226,1187,1155,1184
"80",104,13,0.2032,0.1878,0.1936,0.1975,0.188,2032,1878,1936,1975,1880
"81",104,14,0.3595,0.305,0.3589,0.3579,0.3647,3595,3050,3589,3579,3647
"82",104,15,0.6288,0.4726,0.6238,0.6283,0.6335,6288,4726,6238,6283,6335
"83",104,16,0.9,0.6144,0.9046,0.8792,0.9175,9000,6144,9046,8792,9175
"84",104,17,0.9964,0.6294,0.9984,0.9817,0.9996,9964,6294,9984,9817,9996
"85",112,12,0.1177,0.1198,0.126,0.1163,0.1165,1177,1198,1260,1163,1165
"86",112,13,0.1851,0.1764,0.1912,0.1906,0.1906,1851,1764,1912,1906,1906
"87",112,14,0.3551,0.2967,0.3626,0.3616,0.3632,3551,2967,3626,3616,3632
"88",112,15,0.6211,0.474,0.6231,0.612,0.6347,6211,4740,6231,6120,6347
"89",112,16,0.9007,0.6217,0.9089,0.8835,0.9125,9007,6217,9089,8835,9125
"90",112,17,0.9954,0.638,0.998,0.9826,0.9986,9954,6380,9980,9826,9986
"91",120,12,0.1111,0.1117,0.115,0.1161,0.1145,1111,1117,1150,1161,1145
"92",120,13,0.1847,0.1766,0.1919,0.184,0.1865,1847,1766,1919,1840,1865
"93",120,14,0.3558,0.2982,0.3564,0.3498,0.3631,3558,2982,3564,3498,3631
"94",120,15,0.625,0.472,0.6161,0.613,0.6322,6250,4720,6161,6130,6322
"95",120,16,0.8983,0.6116,0.9073,0.8842,0.9172,8983,6116,9073,8842,9172
"96",120,17,0.9964,0.6284,0.9985,0.9816,0.9993,9964,6284,9985,9816,9993
"97",128,12,0.1028,0.1057,0.1098,0.1064,0.1114,1028,1057,1098,1064,1114
"98",128,13,0.1847,0.1679,0.1887,0.1816,0.1777,1847,1679,1887,1816,1777
"99",128,14,0.3448,0.2989,0.3449,0.3511,0.3388,3448,2989,3449,3511,3388
"100",128,15,0.6086,0.4638,0.6187,0.5941,0.6174,6086,4638,6187,5941,6174
"101",128,16,0.8987,0.6117,0.9036,0.8775,0.9159,8987,6117,9036,8775,9159
"102",128,17,0.9967,0.6205,0.9988,0.9802,0.9994,9967,6205,9988,9802,9994
"103",136,12,0.106,0.1061,0.1007,0.1047,0.1055,1060,1061,1007,1047,1055
"104",136,13,0.1802,0.1654,0.1835,0.1825,0.174,1802,1654,1835,1825,1740
"105",136,14,0.3415,0.2862,0.3422,0.3426,0.3525,3415,2862,3422,3426,3525
"106",136,15,0.6117,0.4552,0.6151,0.6086,0.6142,6117,4552,6151,6086,6142
"107",136,16,0.895,0.6043,0.9027,0.8761,0.9148,8950,6043,9027,8761,9148
"108",136,17,0.9958,0.6267,0.9986,0.9817,0.9992,9958,6267,9986,9817,9992
"109",144,12,0.1011,0.1004,0.097,0.1049,0.0992,1011,1004,970,1049,992
"110",144,13,0.1753,0.1592,0.1698,0.1761,0.1738,1753,1592,1698,1761,1738
"111",144,14,0.3322,0.283,0.3375,0.339,0.3438,3322,2830,3375,3390,3438
"112",144,15,0.608,0.4589,0.6043,0.6061,0.6107,6080,4589,6043,6061,6107
"113",144,16,0.8937,0.6043,0.9051,0.8761,0.9151,8937,6043,9051,8761,9151
"114",144,17,0.9953,0.6268,0.9974,0.9789,0.9991,9953,6268,9974,9789,9991
"115",152,12,0.0938,0.0932,0.0942,0.0938,0.0906,938,932,942,938,906
"116",152,13,0.1787,0.1537,0.1677,0.1679,0.1649,1787,1537,1677,1679,1649
"117",152,14,0.3343,0.2803,0.3329,0.3319,0.3324,3343,2803,3329,3319,3324
"118",152,15,0.6031,0.4527,0.6051,0.5959,0.6069,6031,4527,6051,5959,6069
"119",152,16,0.8887,0.6031,0.9021,0.8744,0.9066,8887,6031,9021,8744,9066
"120",152,17,0.995,0.6219,0.9976,0.9792,0.9994,9950,6219,9976,9792,9994
"121",160,12,0.0895,0.086,0.0944,0.0945,0.0888,895,860,944,945,888
"122",160,13,0.1626,0.1543,0.1699,0.1695,0.1655,1626,1543,1699,1695,1655
"123",160,14,0.327,0.2798,0.3243,0.3329,0.3286,3270,2798,3243,3329,3286
"124",160,15,0.6104,0.4472,0.6087,0.5982,0.6069,6104,4472,6087,5982,6069
"125",160,16,0.8933,0.6042,0.9038,0.872,0.9112,8933,6042,9038,8720,9112
"126",160,17,0.9946,0.6247,0.9982,0.9793,0.9994,9946,6247,9982,9793,9994
"127",168,12,0.0872,0.0892,0.0919,0.0841,0.0857,872,892,919,841,857
"128",168,13,0.1633,0.1448,0.1576,0.1596,0.1585,1633,1448,1576,1596,1585
"129",168,14,0.3258,0.2648,0.3291,0.3188,0.3215,3258,2648,3291,3188,3215
"130",168,15,0.5979,0.4373,0.5944,0.5964,0.6039,5979,4373,5944,5964,6039
"131",168,16,0.8892,0.599,0.8979,0.8749,0.9097,8892,5990,8979,8749,9097
"132",168,17,0.9957,0.6279,0.9986,0.9796,0.9992,9957,6279,9986,9796,9992
"133",176,12,0.0819,0.0792,0.0909,0.0829,0.0806,819,792,909,829,806
"134",176,13,0.1514,0.1461,0.1551,0.1525,0.1495,1514,1461,1551,1525,1495
"135",176,14,0.3131,0.2654,0.3145,0.3206,0.3242,3131,2654,3145,3206,3242
"136",176,15,0.5795,0.4422,0.5885,0.5841,0.6008,5795,4422,5885,5841,6008
"137",176,16,0.8876,0.5996,0.9,0.8717,0.9081,8876,5996,9000,8717,9081
"138",176,17,0.9961,0.6204,0.9979,0.9776,0.9984,9961,6204,9979,9776,9984
"139",184,12,0.0792,0.0792,0.0765,0.0817,0.0789,792,792,765,817,789
"140",184,13,0.1498,0.1404,0.1434,0.148,0.1481,1498,1404,1434,1480,1481
"141",184,14,0.3162,0.2554,0.3215,0.3156,0.3183,3162,2554,3215,3156,3183
"142",184,15,0.5947,0.4354,0.5868,0.5769,0.596,5947,4354,5868,5769,5960
"143",184,16,0.8867,0.5989,0.8995,0.8706,0.9051,8867,5989,8995,8706,9051
"144",184,17,0.9952,0.6219,0.9982,0.9807,0.9994,9952,6219,9982,9807,9994
"145",192,12,0.0763,0.0769,0.0793,0.0687,0.0709,763,769,793,687,709
"146",192,13,0.1451,0.1363,0.1456,0.1381,0.1439,1451,1363,1456,1381,1439
"147",192,14,0.3131,0.2575,0.3057,0.3151,0.3087,3131,2575,3057,3151,3087
"148",192,15,0.5815,0.4347,0.5831,0.579,0.5864,5815,4347,5831,5790,5864
"149",192,16,0.8891,0.5885,0.893,0.8684,0.9091,8891,5885,8930,8684,9091
"150",192,17,0.9948,0.6234,0.9975,0.9783,0.9995,9948,6234,9975,9783,9995
"151",200,12,0.0697,0.0678,0.0777,0.0759,0.0709,697,678,777,759,709
"152",200,13,0.1373,0.1264,0.1442,0.1408,0.1379,1373,1264,1442,1408,1379
"153",200,14,0.3037,0.2486,0.3089,0.2958,0.3052,3037,2486,3089,2958,3052
"154",200,15,0.5792,0.428,0.577,0.5727,0.5907,5792,4280,5770,5727,5907
