"leading_edge_index","leading_edge_val","slurm_array_task_id","count","crossed_frac"
432,13,119,370,0.037
432,14,183,2153,0.2153
432,15,247,8200,0.82
432,16,311,9998,0.9998
432,17,375,10000,1
440,12,56,65,0.0065
440,13,120,364,0.0364
440,14,184,2134,0.2134
440,15,248,8207,0.8207
440,16,312,10000,1
440,17,376,10000,1
448,12,57,69,0.0069
448,13,121,341,0.0341
448,14,185,2234,0.2234
448,15,249,8193,0.8193
448,16,313,9998,0.9998
448,17,377,10000,1
456,12,58,66,0.0066
456,13,122,367,0.0367
456,14,186,2125,0.2125
456,15,250,8233,0.8233
456,16,314,9999,0.9999
456,17,378,10000,1
464,12,59,78,0.0078
464,13,123,358,0.0358
464,14,187,2094,0.2094
464,15,251,8205,0.8205
464,16,315,10000,1
464,17,379,10000,1
472,12,60,65,0.0065
472,13,124,365,0.0365
472,14,188,2147,0.2147
472,15,252,8193,0.8193
472,16,316,10000,1
472,17,380,10000,1
480,12,61,58,0.0058
480,13,125,343,0.0343
480,14,189,2089,0.2089
480,15,253,8174,0.8174
480,16,317,10000,1
480,17,381,10000,1
488,12,62,66,0.0066
488,13,126,334,0.0334
488,14,190,2102,0.2102
488,15,254,8270,0.827
488,16,318,10000,1
488,17,382,10000,1
496,12,63,55,0.0055
496,13,127,384,0.0384
496,14,191,2151,0.2151
496,15,255,8218,0.8218
496,16,319,9999,0.9999
496,17,383,10000,1
504,12,64,53,0.0053
504,13,128,326,0.0326
504,14,192,2144,0.2144
504,15,256,8150,0.815
504,16,320,10000,1
504,17,384,10000,1
